Date,Open,High,Low,Close,Adj Close,Volume
1979-07-05,1.775869,1.782496,1.765930,1.765930,0.440292,1278979
1979-07-06,1.769243,1.802375,1.769243,1.795749,0.447726,2331590
1979-07-09,1.809001,1.835507,1.809001,1.818941,0.453508,3282336
1979-07-10,1.818941,1.828880,1.812314,1.822254,0.454335,3437021
1979-07-11,1.822254,1.822254,1.795749,1.818941,0.453508,1369526
1979-07-12,1.812314,1.812314,1.769243,1.789122,0.446074,2090131
1979-07-13,1.789122,1.795749,1.769243,1.789122,0.446074,1252570
1979-07-16,1.789122,1.799062,1.779183,1.799062,0.448552,1309162
1979-07-17,1.795749,1.795749,1.749364,1.759303,0.438639,2256134
1979-07-18,1.759303,1.775869,1.722858,1.769243,0.441118,2603232
1979-07-19,1.769243,1.782496,1.736111,1.752677,0.436987,5263056
1979-07-20,1.752677,1.772556,1.752677,1.762617,0.439466,1218614
1979-07-23,1.762617,1.762617,1.736111,1.746051,0.435335,1361981
1979-07-24,1.746051,1.752677,1.739424,1.746051,0.435335,1260115
1979-07-25,1.746051,1.769243,1.742737,1.769243,0.441118,1701533
